Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Customer Comments,Shipping Cost,Delivery Status,Delivery Date
2024-03-16,fbb26baa-958c-4015-83ec-0ee2319e5464,PRD13777,Smartphone,Clothing,4,116.54,15,396.24,62.78,251.12,145.12,Credit Card,Canceled,,CUS3940,Christopher Pollard,Online Store,New York,Tiffany Vance,5 stars,,10.38,In Transit,
2023-12-21,664235ab-1c11-4b2b-b451-8feb86964ecf,PRD93337,Coffee Maker,Appliances,3,387.26,15,987.51,287.46,862.38,125.13,Bank Transfer,Pending,,CUS7532,Christopher Acosta,Online Store,New York,Jason Harrell,2 stars,,26.34,Canceled,
2024-03-25,fe439da2-221d-4c8f-8a11-22030edf350c,PRD87139,Smartphone,Accessories,1,433.86,20,347.09,272.81,272.81,74.28,Credit Card,Pending,,CUS6714,Shane Ramos,Physical Store,Illinois,Joseph Simpson,3 stars,Most rest action history.,42.34,Delivered,2024-04-03
2024-02-16,4b473290-6c29-4460-802f-c98205b78aef,PRD55076,Watch,Technology,10,439.49,15,3735.66,228.76,2287.6,1448.06,Credit Card,Paid,2024-02-16,CUS7457,Tyler Harris,Marketplace,California,Danny Zhang,4 stars,,28.27,Delivered,2024-02-17
2024-06-07,386d06cb-d5bd-4c18-837c-f3d715091d5e,PRD89987,Coffee Maker,Technology,3,128.66,15,328.08,84.9,254.7,73.38,Credit Card,Pending,,CUS9840,Andrew Thompson,Online Store,Florida,Bradley Porter,1 star,,14.89,In Transit,
2024-09-24,bb28a925-8089-4beb-ad89-a4aaa5560685,PRD78859,Sofa,Accessories,3,284.77,15,726.16,227.11,681.33,44.83,Pix,Pending,,CUS4606,Barbara Russell,Marketplace,Florida,Joshua Lane,2 stars,,20.44,Delivered,2024-09-26
2024-08-05,b2debe18-f65d-467a-97b2-2600dffefbc2,PRD73787,Smartphone,Clothing,8,249.75,20,1598.4,145.74,1165.92,432.48,Invoice,Pending,,CUS9205,Rebecca Archer,Marketplace,Florida,Kimberly West,5 stars,,33.08,Delivered,2024-08-10
2023-11-18,24da5502-1ca0-461d-9b4a-644577edd6b7,PRD79901,Sofa,Furniture,9,345.3,0,3107.7,276.1,2484.9,622.8,Bank Transfer,Paid,2023-11-19,CUS3688,John Sanders,Marketplace,Florida,Linda Clark DDS,4 stars,,16.77,Delivered,2023-11-21
2024-03-28,fe25322e-4253-4a96-bd06-126db5f4784b,PRD21165,Jeans,Appliances,5,104.24,0,521.2,66.52,332.6,188.6,Invoice,Canceled,,CUS7088,William Calderon,Online Store,California,Don Jackson,4 stars,,8.95,In Transit,
2024-07-25,2741cb7d-2410-4456-be0a-804f8d46ff2d,PRD12674,Coffee Maker,Accessories,10,483.25,15,4107.62,245.27,2452.7,1654.92,Invoice,Canceled,,CUS1402,Bianca Phillips,Physical Store,Texas,Kenneth Lee,2 stars,Throughout beautiful pretty center successful mind.,49.75,Canceled,
2024-08-05,1535dcfa-0557-4c2d-b02f-9dbbdbb50178,PRD34803,Sofa,Furniture,3,438.94,20,1053.46,308.44,925.32,128.14,Invoice,Canceled,,CUS7101,Dustin Howe,Physical Store,Texas,William Olson,2 stars,Stop should since.,42.5,Delivered,2024-08-12
2023-12-27,1c8c1234-7c0b-46ca-8eb5-9f89efda0651,PRD45392,Watch,Furniture,6,381.89,10,2062.21,257.93,1547.58,514.63,Pix,Canceled,,CUS3522,Michael Williams,Marketplace,Florida,Christina Davis DVM,1 star,,36.32,Canceled,
2024-10-13,40248a9f-e838-4362-92dd-5bcbb876da85,PRD63871,Sofa,Technology,10,155.07,10,1395.63,94.21,942.1,453.53,Bank Transfer,Paid,2024-10-18,CUS9797,Andrew Bates,Physical Store,Texas,Mrs. Pamela Murphy,4 stars,,17.43,In Transit,
