Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Shipping Cost,Delivery Status,Delivery Date
2024-04-13,b8ac82fc-e8b2-4c0c-b551-9d5efb9967f7,PRD33317,Sofa,Furniture,4,88.86,15,302.12,54.93,219.72,82.4,Invoice,Pending,,CUS2165,Gabriel Valencia,Marketplace,California,Renee Rose,3 stars,27.92,Delivered,2024-04-19
2023-12-14,ea1c9f82-67d2-43ee-8042-4b749f1f15af,PRD10856,Smartphone,Clothing,3,369.98,10,998.95,205.35,616.05,382.9,Credit Card,Paid,2023-12-19,CUS3702,James Turner,Online Store,New York,Matthew Warren,4 stars,6.42,Delivered,2023-12-23
2024-02-14,8c52ba07-c307-466e-aa13-8e990af02e1a,PRD99857,Coffee Maker,Accessories,3,300.04,15,765.1,169.19,507.57,257.53,Pix,Paid,2024-02-14,CUS7375,Erin Alvarez,Marketplace,New York,Paul Smith,4 stars,39.69,Delivered,2024-02-15
2023-11-26,8bb9f35b-693a-40cb-a0c7-8b2ff2722e38,PRD16310,Sofa,Technology,9,476.91,10,3862.97,292.84,2635.56,1227.41,Credit Card,Paid,2023-11-29,CUS8556,Edgar Duncan,Marketplace,Florida,Jane Johnson,5 stars,40.82,Canceled,
2024-03-01,5f5c845f-7aac-4980-a06e-8abad2ad5bd8,PRD63689,Jeans,Accessories,2,232.92,0,465.84,153.2,306.4,159.44,Pix,Paid,2024-03-01,CUS6973,Jesse Suarez,Physical Store,Florida,John Ramirez,3 stars,15.94,Canceled,
2024-09-10,4458dfb2-d8bd-4ac0-8be1-806804de11bd,PRD14285,Smartphone,Technology,6,293.81,20,1410.29,197.55,1185.3,224.99,Bank Transfer,Pending,,CUS1950,Stacey Cooper,Online Store,California,James Jackson,4 stars,25.64,Canceled,
2024-02-20,070fe269-eb6e-4af7-83fc-6c85470903ce,PRD15657,Watch,Appliances,3,256.42,10,692.33,203.36,610.08,82.25,Credit Card,Canceled,,CUS5080,Kimberly Williams,Online Store,Illinois,Vernon Nichols,1 star,18.84,Delivered,2024-03-01
2024-09-27,e820709a-7261-4f27-88c3-e1b15188858c,PRD78284,Jeans,Accessories,1,62.07,10,55.86,42.38,42.38,13.48,Credit Card,Paid,2024-10-02,CUS3511,Carlos Cain,Online Store,Illinois,Margaret Carter,5 stars,45.72,Canceled,
2024-10-20,7925c845-602e-4f61-89da-7f120281a882,PRD55339,Watch,Accessories,6,286.4,10,1546.56,145.17,871.02,675.54,Bank Transfer,Canceled,,CUS8795,Julie Alexander,Physical Store,New York,Michael Foster,5 stars,7.33,In Transit,
2024-06-03,d6ce4151-db21-4da1-9ee3-9098a7db1397,PRD83109,Sofa,Accessories,9,430.76,10,3489.16,298.68,2688.12,801.04,Invoice,Paid,2024-06-08,CUS3745,Cynthia Parker,Marketplace,New York,Crystal Long,2 stars,21.97,Canceled,
2024-04-23,d66f158b-2234-43e9-82cd-8e23961a85dc,PRD46053,Smartphone,Technology,5,161.43,15,686.08,112.42,562.1,123.98,Bank Transfer,Pending,,CUS1671,Michael Henderson,Marketplace,New York,Jeremiah Anderson,4 stars,7.91,Canceled,
2024-07-02,65717234-8aa5-492b-9941-e89d44033e76,PRD87603,Coffee Maker,Clothing,1,327.8,10,295.02,256.25,256.25,38.77,Credit Card,Pending,,CUS9639,Jack Velez,Online Store,California,Michelle Carr,5 stars,34.36,In Transit,
