Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Shipping Cost,Delivery Status,Delivery Date
2024-09-19,7d995a8f-822a-425d-adee-724fe4247931,PRD76655,Smartphone,Furniture,6,264.72,15,1350.07,171.12,1026.72,323.35,Bank Transfer,Paid,2024-09-24,CUS6229,Christina Lambert,Physical Store,Florida,Jessica Lyons,5 stars,43.67,Canceled,
2023-12-07,b6cb62ad-b96b-4f29-9c90-208d7bbc495a,PRD80189,Sofa,Clothing,8,231.55,20,1481.92,127.07,1016.56,465.36,Invoice,Pending,,CUS1831,Rhonda Patton,Marketplace,Texas,Susan Weiss,3 stars,14.97,Canceled,
2024-02-25,de482776-f1b9-4dca-9623-e734c39cb4eb,PRD57022,Jeans,Appliances,7,470.85,5,3131.15,327.45,2292.15,839.0,Credit Card,Canceled,,CUS4955,Jeffrey Harrison,Marketplace,Florida,Penny Adams,2 stars,22.63,Canceled,
2024-07-27,afd5ded0-aeae-4f7d-8c68-fe6971a8b959,PRD48152,Coffee Maker,Technology,3,254.03,5,723.99,175.11,525.33,198.66,Bank Transfer,Canceled,,CUS1428,Steven Harrison,Online Store,California,Sean Alvarado,2 stars,9.96,In Transit,
2023-11-07,a8b93d22-103e-4dfc-ad1e-6783a2ea051b,PRD75664,Jeans,Accessories,4,431.74,20,1381.57,301.69,1206.76,174.81,Credit Card,Canceled,,CUS7273,Samuel Bell,Physical Store,Florida,Sara Fleming,2 stars,40.82,In Transit,
2023-12-11,5924c84d-2b36-4d30-8d83-eb409d5d8bca,PRD90711,Sofa,Technology,8,353.39,10,2544.41,239.28,1914.24,630.17,Invoice,Pending,,CUS3661,Jamie Stevens,Online Store,New York,Rachel Robinson,4 stars,42.07,Canceled,
2024-01-10,3a8178b8-6aed-4fe7-8816-6f8332278f96,PRD18755,Watch,Technology,8,75.32,15,512.18,51.38,411.04,101.14,Bank Transfer,Canceled,,CUS9773,Walter Tucker,Physical Store,Florida,Katrina Farmer,2 stars,19.77,Delivered,2024-01-18
2024-04-12,e4e39644-404a-431a-887b-817c7f590c45,PRD17194,Jeans,Accessories,4,466.28,10,1678.61,298.89,1195.56,483.05,Invoice,Canceled,,CUS7348,Deborah Chapman,Physical Store,Florida,Anita Nelson,3 stars,36.04,In Transit,
2024-05-11,08a7a9a0-ee8c-46be-a7c7-4e4f65914edc,PRD13925,Jeans,Technology,2,206.29,10,371.32,106.97,213.94,157.38,Bank Transfer,Paid,2024-05-16,CUS5244,Lisa Mccoy,Physical Store,Florida,Antonio Myers,2 stars,29.54,In Transit,
2024-09-24,5c59b467-fdfb-468d-9842-3218fe51ee20,PRD98826,Jeans,Clothing,8,62.04,5,471.5,47.58,380.64,90.86,Pix,Canceled,,CUS7159,Melissa Fletcher,Marketplace,Illinois,Barbara Sweeney,1 star,21.3,Delivered,2024-09-30
2024-09-21,6e52e21f-2388-4692-b7c6-e340e298968e,PRD65668,Smartphone,Appliances,5,183.7,15,780.73,130.95,654.75,125.98,Pix,Canceled,,CUS3479,Kerri Brown,Online Store,Florida,Matthew Reese MD,2 stars,9.36,In Transit,
2024-07-02,cb36b0d2-8362-4695-9696-548e7c6989ab,PRD83770,Sofa,Accessories,6,55.81,5,318.12,43.44,260.64,57.48,Credit Card,Paid,2024-07-07,CUS7938,Devin Barron,Marketplace,New York,Kelly Montoya,4 stars,34.25,Delivered,2024-07-05
2023-12-05,7e9481e0-4199-441d-92f2-9248759642a4,PRD89250,Watch,Accessories,3,317.22,0,951.66,195.51,586.53,365.13,Invoice,Paid,2023-12-10,CUS9295,Raymond Cook,Marketplace,New York,Alex Burns,4 stars,6.63,Delivered,2023-12-15
2023-12-07,365ce3d4-7d3f-48a7-b3cd-15484cb5ecd0,PRD71607,Watch,Appliances,6,409.8,5,2335.86,304.19,1825.14,510.72,Invoice,Pending,,CUS6804,David Mcgee,Online Store,Texas,Taylor Ayala,1 star,11.26,Canceled,
2023-11-06,565127e4-8e2d-41ca-864c-6438f4038ad3,PRD68903,Jeans,Accessories,5,322.0,10,1449.0,220.33,1101.65,347.35,Invoice,Canceled,,CUS6555,John Lopez,Marketplace,Texas,Nancy Farmer,2 stars,22.16,Canceled,
2024-03-31,acd989fe-900f-4d53-936c-61398b2c2f8a,PRD25163,Smartphone,Appliances,4,206.45,15,701.93,116.95,467.8,234.13,Pix,Pending,,CUS6165,David Miller,Marketplace,Texas,James Nelson,5 stars,21.24,Delivered,2024-04-04
2024-08-24,b78d7732-d11f-4048-a86f-9e90c33c9c45,PRD92242,Sofa,Clothing,3,268.26,5,764.54,182.58,547.74,216.8,Pix,Pending,,CUS9105,Crystal Willis,Physical Store,California,Joseph Wood,3 stars,7.92,In Transit,
2024-08-11,e7142965-e77e-4186-9de5-329305614ea4,PRD51865,Coffee Maker,Appliances,3,446.38,20,1071.31,344.31,1032.93,38.38,Invoice,Canceled,,CUS8900,Sarah Mckay,Online Store,Florida,Frank Rodriguez,3 stars,44.59,Delivered,2024-08-18
2024-01-13,0beb98b2-b10d-45f9-854f-b48160393036,PRD89188,Jeans,Accessories,8,178.1,5,1353.56,111.82,894.56,459.0,Credit Card,Canceled,,CUS2860,John Allen,Physical Store,Illinois,Christopher Gomez,5 stars,39.98,Canceled,
2024-10-14,b9bc1734-0737-463d-bbdc-7fba985eac9b,PRD25736,Jeans,Furniture,4,84.06,15,285.8,59.84,239.36,46.44,Invoice,Pending,,CUS4309,Scott Stafford,Online Store,Texas,Loretta Thomas,2 stars,19.16,In Transit,
2024-05-31,d779a585-2b8e-4055-b76f-cdda3630cff7,PRD82504,Watch,Appliances,7,127.41,10,802.68,101.05,707.35,95.33,Bank Transfer,Pending,,CUS9832,Jeremy Torres,Marketplace,Texas,John Torres,1 star,40.31,Delivered,2024-06-05
2023-11-09,53db45f6-d9f9-4911-ae89-e775aad3b21a,PRD64574,Jeans,Appliances,10,345.69,0,3456.9,207.89,2078.9,1378.0,Invoice,Canceled,,CUS5227,Jamie Diaz,Online Store,New York,Matthew Moss,3 stars,46.24,Delivered,2023-11-15
2023-12-06,9e54e8c0-005c-4bf3-ae11-5271d35b3ea6,PRD57448,Jeans,Appliances,6,454.97,20,2183.86,305.46,1832.76,351.1,Invoice,Paid,2023-12-06,CUS6517,Richard Thomas II,Online Store,Texas,James Burns,1 star,14.72,In Transit,
2024-01-26,885756f0-7898-4329-b6f5-25b5f65d4092,PRD10566,Watch,Appliances,3,60.49,0,181.47,30.27,90.81,90.66,Bank Transfer,Paid,2024-01-27,CUS6406,Tim Meyer,Marketplace,Texas,Teresa Taylor,5 stars,44.13,In Transit,
2024-10-09,a260472c-0e68-494c-8337-c4478d8f178b,PRD45237,Sofa,Accessories,10,292.19,20,2337.52,196.08,1960.8,376.72,Credit Card,Canceled,,CUS4824,Amber Perkins,Online Store,Florida,Kenneth Harris,5 stars,10.82,Canceled,
2024-08-31,ae7161c7-85bf-4959-ad27-9c1cd5bfb204,PRD77844,Watch,Clothing,6,260.68,5,1485.88,185.31,1111.86,374.02,Pix,Canceled,,CUS6951,Antonio Hardy,Physical Store,California,Robert Foster,5 stars,9.14,In Transit,
